"시도명",시군구명,시군구코드,도로명,상세위치,지정방향구분코드,금지구역총연장,주정차금지유형코드,평일주정차금지시작시각,평일주정차금지종료시각,일시적주정차허용시작시각(평일),일시적주정차허용종료시각(평일),토요일주정차금지시작시각,토요일주정차금지종료시각,일시적주정차허용시작시각(토요일),일시적주정차허용종료시각(토요일),공휴일주정차금지시작시각,공휴일주정차금지종료시각,일시적주정차허용시작시각(공휴일),일시적주정차허용종료시각(공휴일),명절허용여부,시행일자,해제일자,관리기관명,관리기관전화번호,데이터기준일자
"서울특별시",광진구,11215,뚝섬로,SK텔레콤~이태리가구(능동로골목시장),2,70,2,00:00,00:00,09:00+20:00,18:00+09:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,뚝섬로,노룬산청과~공주광고간판(노룬산골목시장),2,120,2,00:00,00:00,09:00+20:00,18:00+09:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,광나루로,새마을금고~수도약국(구의시장),2,70,2,00:00,00:00,09:00+20:00,18:00+09:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,동일로,동일로60 ~동일로68(영동교골목시장),2,95,2,00:00,00:00,09:00+20:00,18:00+09:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,자양로,자양로69~자양로 63(요한서울교회),1,120,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,자양로,자양로180~자양로186(동원교회),2,80,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,광나루로,광나루로 520~광나루로 534(은혜제일교회),2,140,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,동일로,동일로 448~동일로 458(성수교회),2,105,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,광나루로,광나루로 553-25(구의교회),2,125,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,아차산로,"아차산로 306~아차산로292(원일교회), 아차산로 291~아차산로 305(원일교회)",2,300,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,아차산로,아차산로 537-17(강변성산교회),2,100,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,천호대로,천호대로 803~아차산입구,2,200,2,00:00,23:59,,,00:00,23:59,,,00:00,00:00,00:00,00:00,N,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로,구의문주차장~어린이회관정문,2,300,2,18:00,10:00,10:00,18:00,18:00,10:00,10:00,18:00,18:00,10:00,10:00,18:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로,어린이대공원정문~시민안전체험관,2,270,2,18:00,10:00,10:00,18:00,18:00,10:00,10:00,18:00,18:00,10:00,10:00,18:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로,능동로 384-1 ~능동로 390,1,100,2,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로,능동로 398~능동로 420-1,2,180,2,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로,능동로 411~403,2,160,2,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,07:00,22:00,22:00,07:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,광나루로,광나루로 571~광나루로535,2,290,2,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,광나루로,광나루로520~광나루로542,2,260,2,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,동일로,동곡삼거리~동일로 440,2,590,2,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
"서울특별시",광진구,11215,능동로 398,용마산로 141,2,280,2,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,06:00,22:00,22:00,06:00,Y,2018-07-04,,서울특별시 광진구청,02-450-7494,2022-07-25
